gml_id,oid,aktualit,art,name,schluessel,gemeinde,gmdschl
DE098811,DE098811,2023-08-01Z,Gemarkung,St. Veit,"098811",Neumarkt-Sankt Veit,"09183129"
DE092973,DE092973,2023-07-26Z,Gemarkung,Hohlach,"092973",Simmershofen,"09575163"
DE097278,DE097278,2023-08-31Z,Gemarkung,Ustersbach,"097278",Ustersbach,"09772211"
DE098410,DE098410,2023-08-05Z,Gemarkung,Forstern,"098410",Forstern,"09177119"
DE098771,DE098771,2023-08-01Z,Gemarkung,Oexing,"098771",Grafing b.München,"09175122"
DE097276,DE097276,2023-08-31Z,Gemarkung,Rommelsried,"097276",Kutzenhausen,"09772167"
DE098319,DE098319,2023-08-18Z,Gemarkung,Hohenbachern,"098319",Freising,"09178124"
DE094256,DE094256,2023-07-03Z,Gemarkung,Filchendorf,"094256",Neustadt am Kulm,"09374140"
DE095004,DE095004,2023-07-14Z,Gemarkung,Steinlohe,"095004","Tiefenbach;Treffelstein","09372163;09372165"
DE097264,DE097264,2023-08-31Z,Gemarkung,Anried,"097264",Dinkelscherben,"09772131"
DE094906,DE094906,2023-07-21Z,Gemarkung,Zangenstein,"094906",Schwarzhofen,"09376164"
DE095575,DE095575,2023-08-30Z,Gemarkung,Sankt Englmar,"095575",Sankt Englmar,"09278184"
DE096605,DE096605,2023-04-12Z,Gemarkung,Wolfsbach,"096605","Landshut;Adlkofen;Niederaichbach","09261000;09274111;09274156"
DE098193,DE098193,2023-08-18Z,Gemarkung,Waal,"098193",Rohrbach,"09186149"
DE092165,DE092165,2023-08-24Z,Gemarkung,Gerach,"092165",Gerach,"09471133"
DE093000,DE093000,2023-06-01Z,Gemarkung,Neuses,"093000",Dürrwangen,"09571139"
DE095564,DE095564,2023-08-30Z,Gemarkung,Haunkenzell,"095564",Rattiszell,"09278179"
DE096323,DE096323,2023-07-13Z,Gemarkung,Gollnerberg,"096323",Breitenberg,"09275118"
DE097247,DE097247,2023-08-31Z,Gemarkung,Horgau,"097247",Horgau,"09772159"
DE098658,DE098658,2023-08-23Z,Gemarkung,"München, S.8","098658",München,"09162000"
DE092108,DE092108,2023-08-24Z,Gemarkung,Aschbach,"092108",Schlüsselfeld,"09471220"
DE095969,DE095969,2023-08-22Z,Gemarkung,Anning,"095969",Osterhofen,"09271141"
DE092129,DE092129,2023-08-24Z,Gemarkung,Burglesau,"092129",Scheßlitz,"09471185"
DE097242,DE097242,2023-08-31Z,Gemarkung,Gabelbachergreut,"097242",Zusmarshausen,"09772223"
DE092082,DE092082,2023-08-24Z,Gemarkung,Oberredwitz,"092082",Marktredwitz,"09479136"
DE092827,DE092827,2023-07-27Z,Gemarkung,Reinersdorf,"092827",Weisendorf,"09572164"
DE097030,DE097030,2023-08-07Z,Gemarkung,Hollenbach,"097030",Ehekirchen,"09185127"
DE093862,DE093862,2023-07-28Z,Gemarkung,Lohen,"093862",Thalmässing,"09576148"
DE093307,DE093307,2023-08-01Z,Gemarkung,Buchen,"093307",Markt Erlbach,"09575145"
DE094635,DE094635,2023-07-21Z,Gemarkung,Holnstein,"094635",Berching,"09373112"
